store_id,week_of_year,weekly_spend,ranking_score_weekly
24870616,6,737.44,0.8612
24870616,7,422.38,0.7928
24870616,8,128.94,0.7546
78227895,1,405.35,0.6267
78227895,2,429.06,0.7558
78227895,3,296.88,0.6434
78227895,4,344.88,0.7267
78227895,5,145.03,0.5847
78227895,6,167.76,0.56
78227895,7,273.17,0.6757
78227895,8,909.58,0.7778
73047066,1,885.84,0.8426
73047066,2,120.91,0.6919
73047066,3,434.29,0.8431
73047066,4,843.73,0.8065
73047066,5,452.17,0.81
73047066,6,295.96,0.7193
73047066,7,455.1,0.8322
73047066,8,170.88,0.7907
41907336,1,86.6,0.6751
41907336,2,37.85,0.7073
41907336,3,273.82,0.7296
41907336,4,158.26,0.7026
41907336,5,156.23,0.6822
41907336,6,71.07,0.7095
41907336,7,121.07,0.7617
41907336,8,130.06,0.6677
16112800,1,1027.65,0.874
16112800,2,1478.67,0.8553
16112800,3,627.84,0.826
16112800,4,294.72,0.7803
16112800,5,1625.63,0.8725
16112800,6,284.31,0.7189
16112800,7,2012.45,0.8702
16112800,8,447.73,0.8002
97362821,1,174.94,0.4874
97362821,2,168.72,0.5075
97362821,3,175.68,0.5149
97362821,4,120.79,0.5114
97362821,5,104.02,0.4835
97362821,6,59.63,0.5327
97362821,7,38.47,0.449
97362821,8,70.04,0.4829
50111873,1,205.65,0.7803
50111873,2,59.94,0.7724
50111873,3,81.96,0.6918
50111873,4,183.19,0.7991
50111873,5,236.02,0.8026
50111873,6,47.72,0.6902
50111873,7,604.48,0.768
50111873,8,249.29,0.7577
90380900,1,170.82,0.8505
90380900,2,281.79,0.8145
90380900,3,130.27,0.8384
90380900,4,117.21,0.8403
90380900,5,1421.49,0.8831
90380900,6,411.24,0.8204
90380900,7,73.12,0.7539
90380900,8,593.51,0.7991
71012710,1,119.84,0.224
71012710,2,60.12,0.249
71012710,3,74.76,0.2277
71012710,4,80.32,0.2622
71012710,5,114.77,0.2392
71012710,6,196.73,0.2483
71012710,7,111.38,0.2591
71012710,8,206.05,0.2572
80054513,1,155.22,0.2756
80054513,2,425.38,0.3597
80054513,3,346.88,0.3413
80054513,4,265.89,0.3399
80054513,5,473.84,0.3666
80054513,6,241.66,0.3533
80054513,7,299.33,0.3353
80054513,8,309.95,0.3289
78390948,1,204.16,0.8968
78390948,2,101.43,0.8013
78390948,3,96.83,0.7739
78390948,4,353.15,0.7736
78390948,5,95.09,0.7057
78390948,6,79.09,0.6951
78390948,7,195.13,0.8897
78390948,8,101.97,0.708
27517483,1,322.17,0.7204
27517483,2,430.2,0.6839
27517483,3,460.31,0.7366
27517483,4,445.75,0.6837
27517483,5,454.11,0.6504
27517483,6,668.91,0.6772
27517483,7,387.18,0.7071
27517483,8,629.27,0.7589
42751542,1,487.88,0.7837
42751542,2,304.82,0.745
42751542,3,371.49,0.7147
42751542,4,95.22,0.6488
42751542,5,325.29,0.742
42751542,6,124.11,0.5983
42751542,7,307.56,0.6976
42751542,8,66.95,0.6353
52004889,1,27.43,0.4064
52004889,2,166.03,0.3346
52004889,3,40.93,0.3573
52004889,4,161.39,0.3517
52004889,5,37.19,0.4021
52004889,6,39.74,0.3669
52004889,7,19.41,0.3316
52004889,8,17.24,0.3054
54801238,1,475.12,0.7469
54801238,2,301.66,0.7095
54801238,3,596.88,0.8069
54801238,4,89.09,0.6011
54801238,5,544.25,0.7567
54801238,6,637.91,0.7819
54801238,7,402.56,0.7113
54801238,8,418.39,0.7745
13942338,1,124.63,0.7613
13942338,2,357.95,0.7998
13942338,3,242.11,0.8217
13942338,4,124.55,0.7415
13942338,5,104.82,0.7281
13942338,6,226.2,0.7758
13942338,7,151.28,0.7081
13942338,8,69.22,0.8059
59191254,1,125.3,0.8575
59191254,2,249.01,0.833
59191254,3,189.54,0.7915
59191254,4,185.69,0.7334
59191254,5,195.81,0.8091
59191254,6,690.3,0.8138
59191254,7,45.47,0.7847
59191254,8,1230.28,0.8568
23886054,1,178.37,0.8278
23886054,2,50.38,0.8419
23886054,3,128.91,0.7739
23886054,4,57.55,0.8503
23886054,5,93.16,0.8614
23886054,6,55.15,0.8699
23886054,7,56.27,0.8988
23886054,8,39.82,0.8039
76903830,1,1012.39,0.5378
76903830,2,494.81,0.4763
76903830,3,176.12,0.4005
76903830,4,156.11,0.3585
76903830,5,445.62,0.4047
76903830,6,422.43,0.3914
76903830,7,416.12,0.4264
76903830,8,856.3,0.5184
71474405,1,420.46,0.7371
71474405,2,363.15,0.7093
71474405,3,579.49,0.7453
71474405,4,311.82,
71474405,5,150.16,0.5982
71474405,6,1033.16,0.7689
71474405,7,282.37,0.747
71474405,8,454.31,0.7476
93027504,1,638.84,0.7875
93027504,2,357.39,0.73
93027504,3,2036.78,0.8711
93027504,4,210.17,0.6992
93027504,5,156.99,0.7586
93027504,6,2005.42,0.8838
93027504,7,176.05,0.6345
93027504,8,354.37,0.7641
77028593,1,160.48,0.7582
77028593,2,171.45,0.7399
77028593,3,67.91,0.7369
77028593,4,140.11,0.7627
77028593,5,232.25,0.705
77028593,6,54.71,0.6635
77028593,7,69.94,0.7291
77028593,8,174.62,0.7794
42997838,1,386.16,0.8438
42997838,2,457.58,0.8184
42997838,3,882.64,0.8499
42997838,4,276.66,0.7552
42997838,5,532.5,0.8503
42997838,6,326.28,0.8309
42997838,7,93.7,0.7484
42997838,8,328.51,
97075874,1,1744.89,0.8559
97075874,2,1852.6,
97075874,3,1111.6,0.857
97075874,4,1210.34,0.8181
97075874,5,4266.98,0.8932
97075874,6,2549.15,
97075874,7,1559.02,0.833
97075874,8,954.19,0.7906
46976531,1,72.95,0.4969
46976531,2,164.83,0.6134
46976531,3,431.74,0.662
46976531,4,173.26,0.6098
46976531,5,121.19,0.5992
46976531,6,236.56,0.6239
46976531,7,121.04,0.5539
46976531,8,58.75,0.5147
39324281,1,68.61,0.601
39324281,2,310.07,0.6414
39324281,3,171.27,0.5841
39324281,4,116.84,0.5686
39324281,5,210.65,0.5994
39324281,6,274.94,0.6363
39324281,7,93.39,0.5276
39324281,8,167.93,0.6523
91498217,1,1301.8,0.6546
91498217,2,248.73,0.4654
91498217,3,412.22,0.4714
91498217,4,648.3,0.5494
91498217,5,358.87,0.5111
91498217,6,930.85,0.5616
91498217,7,282.25,0.5309
91498217,8,569.73,0.5103
43341373,1,274.84,0.5974
43341373,2,100.22,0.4643
43341373,3,135.96,0.4982
43341373,4,159.29,0.5656
43341373,5,216.89,0.5588
43341373,6,109.22,0.4919
43341373,7,354.57,0.614
43341373,8,151.14,0.5432
16870886,1,1538.96,0.8747
16870886,2,1390.41,0.8852
16870886,3,1410.98,0.8825
16870886,4,609.15,0.7915
16870886,5,1412.67,0.8737
16870886,6,1077.37,0.8546
16870886,7,1619.64,0.8985
16870886,8,1459.45,0.8887
52260022,1,221.12,0.8362
52260022,2,267.64,0.8515
52260022,3,223.53,0.817
52260022,4,178.76,0.8567
52260022,5,99.78,0.7796
52260022,6,171.54,0.8265
52260022,7,89.23,0.805
52260022,8,143.42,0.7008
81611196,1,180.68,0.8003
81611196,2,502.37,0.7646
81611196,3,117.1,0.6673
81611196,4,146.41,
81611196,5,143.67,0.8414
81611196,6,350.16,0.8056
81611196,7,157.29,0.8389
81611196,8,197.58,0.7652
27052422,1,42.64,0.8363
27052422,2,249.47,0.8176
27052422,3,34.54,0.7481
27052422,4,81.32,0.713
27052422,5,81.23,0.8319
27052422,6,75.43,0.7853
27052422,7,82.01,0.8053
27052422,8,34.25,0.8703
51664650,1,296.35,
51664650,2,410.35,0.7657
51664650,3,182.49,0.6678
51664650,4,257.33,0.6413
51664650,5,255.43,0.6273
51664650,6,120.5,0.6499
51664650,7,337.26,0.6576
51664650,8,111.11,0.5856
21692935,1,234.07,0.7072
21692935,2,728.56,0.7993
21692935,3,864.5,0.808
21692935,4,390.18,0.6988
21692935,5,868.51,0.7863
21692935,6,562.82,0.7591
21692935,7,226.17,0.6563
21692935,8,1101.56,0.8373
71783038,1,125.35,0.7976
71783038,2,970.46,0.8391
71783038,3,80.26,0.8567
71783038,4,31.06,0.7989
71783038,5,375.78,0.7992
71783038,6,33.31,0.7692
71783038,7,264.56,0.8163
71783038,8,59.58,0.7639
52813442,1,189.87,0.8931
52813442,2,297.57,0.8694
52813442,3,63.18,0.7894
52813442,4,212.34,0.7883
52813442,5,129.67,0.8521
52813442,6,71.67,0.7925
52813442,7,141.23,0.8595
52813442,8,299.34,0.8697
39717669,1,157.93,0.7302
39717669,2,184.03,0.7949
39717669,3,319.24,0.7146
39717669,4,153.92,0.8109
39717669,5,270.06,0.7242
39717669,6,1186.11,0.8501
39717669,7,329.3,0.8037
39717669,8,201.99,0.7471
30421841,1,2798.48,0.7155
30421841,2,2120.35,0.6442
30421841,3,3344.74,0.6565
30421841,4,1752.65,0.5994
30421841,5,386.91,0.5411
30421841,6,861.64,0.5144
30421841,7,2071.74,0.7393
30421841,8,3597.39,0.6715
60804989,1,432.38,0.8106
60804989,2,194.22,0.7215
60804989,3,295.21,0.7648
60804989,4,222.69,0.7166
60804989,5,595.37,0.83
60804989,6,331.16,0.7952
60804989,7,188.88,0.7583
60804989,8,345.47,0.8433
70283258,1,56.28,0.6525
70283258,2,114.05,0.7322
70283258,3,57.05,0.6713
70283258,4,187.55,0.706
70283258,5,47.17,0.6728
70283258,6,195.88,0.6962
70283258,7,100.61,0.6499
70283258,8,83.7,0.6656
94627547,1,142.54,0.7286
94627547,2,151.76,0.7836
94627547,3,243.14,
94627547,4,342.64,0.7729
94627547,5,641.51,0.8127
94627547,6,186.69,0.7846
94627547,7,75.0,0.7141
94627547,8,468.18,0.7449
49343672,1,1659.76,0.8185
49343672,2,751.35,0.8637
49343672,3,458.87,0.8475
49343672,4,401.79,0.787
49343672,5,369.67,0.8166
49343672,6,1319.31,0.8124
49343672,7,272.02,0.7468
49343672,8,803.26,0.8817
24461934,1,261.6,0.7603
24461934,2,287.9,0.7328
24461934,3,180.42,0.7576
24461934,4,64.57,0.6911
24461934,5,248.85,0.7058
24461934,6,1010.59,0.825
24461934,7,216.21,0.7055
24461934,8,440.22,0.7601
84941036,1,36.45,0.8771
84941036,2,67.17,0.8512
84941036,3,53.98,0.8035
84941036,4,190.38,0.8236
84941036,5,47.96,0.8647
84941036,6,40.01,0.7945
84941036,7,64.41,0.8237
84941036,8,75.74,0.8982
66678786,1,68.3,0.8224
66678786,2,328.39,0.8208
66678786,3,375.94,0.8173
66678786,4,309.63,0.837
66678786,5,225.25,0.7601
66678786,6,2287.09,0.7959
66678786,7,341.95,0.7354
66678786,8,345.6,0.7703
73023858,1,326.97,0.8447
73023858,2,239.86,0.7412
73023858,3,547.07,0.777
73023858,4,447.71,0.8626
73023858,5,241.25,0.7759
73023858,6,182.93,0.7907
73023858,7,168.93,0.8025
73023858,8,44.06,0.8579
18750396,1,164.19,0.4429
18750396,2,284.05,0.4586
18750396,3,51.95,0.4547
18750396,4,315.31,0.4835
18750396,5,106.7,0.4411
18750396,6,86.85,0.3877
18750396,7,138.13,0.4805
18750396,8,177.76,0.4434
38112997,1,1590.84,0.9022
38112997,2,994.87,0.8622
38112997,3,305.44,0.8259
38112997,4,1693.11,0.8924
38112997,5,1157.16,0.8906
38112997,6,460.52,0.7949
38112997,7,604.45,0.8763
38112997,8,2235.22,0.8587
79105951,1,61.74,0.3676
79105951,2,28.45,0.4615
79105951,3,82.44,0.4097
79105951,4,42.91,0.4041
79105951,5,52.54,0.3593
79105951,6,100.09,0.3153
79105951,7,189.99,0.4045
79105951,8,154.71,0.3553
84903381,1,51.93,0.6099
84903381,2,115.35,0.6115
84903381,3,57.16,0.5501
84903381,4,107.07,0.5979
84903381,5,70.77,0.655
84903381,6,104.74,0.6555
84903381,7,78.13,0.6071
84903381,8,106.59,0.547
49169499,1,741.08,0.8599
49169499,2,496.28,0.8237
49169499,3,460.59,0.8725
49169499,4,990.67,0.8451
49169499,5,1956.25,0.8731
49169499,6,1330.67,0.762
49169499,7,514.8,0.7744
49169499,8,1298.36,0.8399
82428791,1,65.99,0.4327
82428791,2,72.07,0.4311
82428791,3,105.21,0.5242
82428791,4,257.85,
82428791,5,56.67,0.5113
82428791,6,30.08,0.4245
82428791,7,92.64,0.4
82428791,8,72.82,0.4473
85752267,1,130.33,0.4947
85752267,2,265.9,0.572
85752267,3,263.73,0.4778
85752267,4,223.65,0.4371
85752267,5,341.91,0.5371
85752267,6,1307.07,0.6009
85752267,7,220.63,0.461
85752267,8,301.4,0.5272
44873053,1,466.72,0.7841
44873053,2,437.31,0.8291
44873053,3,228.56,0.7793
44873053,4,1115.39,0.7988
44873053,5,279.58,0.7537
44873053,6,735.3,0.8428
44873053,7,148.22,0.7968
44873053,8,272.36,0.7691
90827885,1,590.11,0.7605
90827885,2,445.86,0.7406
90827885,3,531.85,0.7446
90827885,4,302.05,0.738
90827885,5,231.48,0.666
90827885,6,372.08,0.7499
90827885,7,254.68,0.6293
90827885,8,243.93,0.6729
35949529,1,55.47,0.4136
35949529,2,88.51,0.4973
35949529,3,28.78,0.5385
35949529,4,32.36,0.5204
35949529,5,48.0,0.5526
35949529,6,123.23,0.4672
35949529,7,41.71,0.5086
35949529,8,63.83,0.4917
31560200,1,435.64,0.7076
31560200,2,1318.12,0.84
31560200,3,638.87,0.7377
31560200,4,228.89,0.5946
31560200,5,871.65,0.7664
31560200,6,744.09,0.782
31560200,7,327.57,0.6531
31560200,8,801.2,0.7448
71424594,1,1464.41,0.8428
71424594,2,2604.19,0.7736
71424594,3,807.23,0.8383
71424594,4,447.72,0.8239
71424594,5,395.18,0.8335
71424594,6,1613.6,0.8334
71424594,7,243.3,0.7542
71424594,8,1171.09,0.8258
67308563,1,56.76,0.4942
67308563,2,14.86,0.5185
67308563,3,16.29,0.4455
67308563,4,31.94,0.547
67308563,5,72.7,0.4942
67308563,6,34.18,0.4959
67308563,7,11.18,0.4845
67308563,8,15.7,0.4799
22577723,1,275.37,0.8307
22577723,2,26.97,0.8283
22577723,3,301.79,0.844
22577723,4,185.98,0.8787
22577723,5,243.4,0.8344
22577723,6,392.0,0.8328
22577723,7,110.9,0.6841
22577723,8,145.8,0.8484
84946306,1,300.93,0.8244
84946306,2,412.96,0.8105
84946306,3,242.27,0.837
84946306,4,474.45,0.7357
84946306,5,132.71,0.8389
84946306,6,488.31,0.8221
84946306,7,147.8,0.8359
84946306,8,314.43,0.7984
82440919,1,686.69,0.8538
82440919,2,516.58,0.7855
82440919,3,307.78,0.7535
82440919,4,295.7,0.7327
82440919,5,160.28,0.7232
82440919,6,151.93,0.6549
82440919,7,339.67,0.7933
82440919,8,242.21,0.6869
10662604,1,444.68,0.6043
10662604,2,78.83,0.6962
10662604,3,222.11,0.6014
10662604,4,147.21,0.6127
10662604,5,262.19,0.7124
10662604,6,194.73,0.5968
10662604,7,252.32,0.6144
10662604,8,77.28,0.5072
81715831,1,35.99,0.4612
81715831,2,79.01,0.4806
81715831,3,8.35,0.4553
81715831,4,47.43,0.4824
81715831,5,173.05,0.5221
81715831,6,114.26,0.5227
81715831,7,62.7,0.4715
81715831,8,62.04,0.4816
80823193,1,238.7,0.8247
80823193,2,530.33,0.8811
80823193,3,208.0,0.8655
80823193,4,263.56,0.8242
80823193,5,291.37,0.8309
80823193,6,150.59,0.7795
80823193,7,220.45,0.873
80823193,8,177.19,0.9257
80232787,1,1191.83,0.7582
80232787,2,1702.4,0.738
80232787,3,96.64,0.5084
80232787,4,733.83,0.6822
80232787,5,610.63,0.6984
80232787,6,654.43,0.6843
80232787,7,277.19,0.5264
80232787,8,1457.69,0.7474
69836576,1,95.02,0.4343
69836576,2,89.76,0.4099
69836576,3,53.66,0.4416
69836576,4,96.79,0.5007
69836576,5,172.16,0.4777
69836576,6,87.79,0.4365
69836576,7,179.94,0.4985
69836576,8,133.88,0.5095
52441042,1,406.23,0.7748
52441042,2,74.69,0.7067
52441042,3,388.78,0.802
52441042,4,319.25,0.7536
52441042,5,143.62,0.7267
52441042,6,320.14,0.7389
52441042,7,499.04,0.7713
52441042,8,166.05,0.7744
73464883,1,398.7,0.8614
73464883,2,556.43,0.7264
73464883,3,279.14,0.847
73464883,4,399.07,0.8564
73464883,5,1048.47,0.8392
73464883,6,253.01,0.8513
73464883,7,406.92,0.8375
73464883,8,416.24,0.9144
34940945,1,28.54,0.8148
34940945,2,22.11,0.8518
34940945,3,62.32,0.8141
34940945,4,30.81,0.8056
34940945,5,34.31,0.8026
34940945,6,32.51,0.8151
34940945,7,59.93,0.7467
34940945,8,18.55,0.7221
60008225,1,590.98,0.5641
60008225,2,198.32,0.5498
60008225,3,338.09,0.5083
60008225,4,875.17,0.5284
60008225,5,352.12,0.4966
60008225,6,3217.72,0.6398
60008225,7,1426.82,0.6486
60008225,8,637.96,0.5007
51302419,1,223.49,0.7469
51302419,2,673.93,0.7126
51302419,3,474.28,0.7779
51302419,4,507.28,0.7808
51302419,5,340.56,0.6678
51302419,6,564.92,0.7638
51302419,7,471.85,0.7838
51302419,8,340.52,0.7314
55504562,1,92.8,0.2709
55504562,2,257.26,0.4227
55504562,3,371.99,0.293
55504562,4,33.8,0.3272
55504562,5,239.8,0.3693
55504562,6,144.01,0.3221
55504562,7,442.46,0.3342
55504562,8,193.52,0.3267
61186707,1,378.12,0.5731
61186707,2,282.67,0.4599
61186707,3,1379.63,0.6202
61186707,4,263.76,0.4981
61186707,5,398.7,0.5056
61186707,6,377.36,0.5129
61186707,7,427.59,0.4289
61186707,8,1296.09,0.6264
13353608,1,160.93,0.714
13353608,2,254.6,0.8043
13353608,3,269.33,
13353608,4,258.25,0.7389
13353608,5,336.0,0.8058
13353608,6,115.39,0.6498
13353608,7,111.16,0.66
13353608,8,232.56,0.6897
22581729,1,34.98,0.6437
22581729,2,282.77,0.7796
22581729,3,146.38,0.6887
22581729,4,47.75,0.6376
22581729,5,126.0,0.7364
22581729,6,232.97,0.7588
22581729,7,80.23,0.6897
22581729,8,105.16,0.6971
32093304,1,431.66,0.3301
32093304,2,2982.66,0.3705
32093304,3,892.92,0.3582
32093304,4,1173.56,0.3261
32093304,5,1997.94,0.4317
32093304,6,1888.2,0.3651
32093304,7,1435.35,0.3557
32093304,8,1093.07,0.4719
20307706,1,120.77,0.7237
20307706,2,108.54,0.6709
20307706,3,132.83,0.7056
20307706,4,480.51,0.8188
20307706,5,367.15,0.7405
20307706,6,183.82,0.7334
20307706,7,173.71,0.7134
20307706,8,348.17,0.7658
49565221,1,821.8,0.7079
49565221,2,628.16,0.7064
49565221,3,112.45,0.499
49565221,4,169.76,0.5232
49565221,5,275.21,0.6112
49565221,6,659.89,0.6851
49565221,7,218.44,0.4812
49565221,8,305.55,0.6036
70156265,1,1106.27,0.6167
70156265,2,468.71,0.4619
70156265,3,201.59,0.4474
